series_id,game_num,blue_team,red_team,team,opp_team,side,player,champion,draft_champion,role,pick_order,pick_turn_global,pick_phase,win,result
2882822,4,CG,DEA,CG,DEA,Blue,Fragola,Vi,Kai'Sa,JGL,4,10.0,1.0,True,Win
2882822,4,CG,DEA,CG,DEA,Blue,Bisgaard,Malzahar,Bard,MID,5,11.0,1.0,True,Win
2882822,4,CG,DEA,DEA,CG,Red,Sharon,Leblanc,Lulu,MID,6,12.0,1.0,False,Loss
2882822,4,CG,DEA,DEA,CG,Red,Kyte,Tristana,LeBlanc,BOT,7,17.0,2.0,False,Loss
2882822,4,CG,DEA,CG,DEA,Blue,Piskhello,Kaisa,Malzahar,BOT,8,18.0,2.0,True,Win
2882822,4,CG,DEA,CG,DEA,Blue,CENTU,Bard,Gnar,SUP,9,19.0,2.0,True,Win
2882822,4,CG,DEA,DEA,CG,Red,Sheeesh,Lulu,Wukong,SUP,10,20.0,2.0,False,Loss
2882827,1,CG,HMB,CG,HMB,Blue,TheMountain,Sion,Sion,TOP,1,7.0,1.0,False,Loss
2882827,1,CG,HMB,HMB,CG,Red,APP,Aatrox,Vi,TOP,2,8.0,1.0,True,Win
2882827,1,CG,HMB,HMB,CG,Red,adi1,Vi,Varus,JGL,3,9.0,1.0,True,Win
2882827,1,CG,HMB,CG,HMB,Blue,Fragola,XinZhao,Xin Zhao,JGL,4,10.0,1.0,False,Loss
2882827,1,CG,HMB,CG,HMB,Blue,Bisgaard,Taliyah,Ezreal,MID,5,11.0,1.0,False,Loss
2882827,1,CG,HMB,HMB,CG,Red,Vigil,Galio,Aatrox,MID,6,12.0,1.0,True,Win
2882827,1,CG,HMB,HMB,CG,Red,Tyrone,Varus,Rakan,BOT,7,17.0,2.0,True,Win
2882827,1,CG,HMB,CG,HMB,Blue,Piskhello,Ezreal,Taliyah,BOT,8,18.0,2.0,False,Loss
2882827,1,CG,HMB,CG,HMB,Blue,CENTU,Leona,Leona,SUP,9,19.0,2.0,False,Loss
